unit,cycle,actual_rul,predicted_rul,absolute_error,maintenance_risk
81,213,8,5.5509033,2.4490966796875,HIGH MAINTENANCE PRIORITY
34,203,7,6.0602865,0.9397134780883788,HIGH MAINTENANCE PRIORITY
35,198,11,6.75511,4.244890213012695,HIGH MAINTENANCE PRIORITY
82,162,9,7.5101147,1.489885330200195,HIGH MAINTENANCE PRIORITY
66,147,14,12.00395,1.996049880981445,HIGH MAINTENANCE PRIORITY
76,205,10,12.4246235,2.424623489379883,HIGH MAINTENANCE PRIORITY
68,187,8,13.984462,5.984461784362793,HIGH MAINTENANCE PRIORITY
49,303,21,14.773618,6.226382255554199,HIGH MAINTENANCE PRIORITY
56,136,15,15.278359,0.2783594131469726,HIGH MAINTENANCE PRIORITY
100,198,20,15.281925,4.718074798583984,HIGH MAINTENANCE PRIORITY
42,156,10,16.988703,6.988702774047852,HIGH MAINTENANCE PRIORITY
24,186,20,20.514523,0.5145225524902344,HIGH MAINTENANCE PRIORITY
92,150,20,20.816088,0.8160877227783203,HIGH MAINTENANCE PRIORITY
31,196,8,21.667603,13.6676025390625,HIGH MAINTENANCE PRIORITY
36,126,19,22.522491,3.522491455078125,HIGH MAINTENANCE PRIORITY
20,184,16,25.682318,9.682317733764648,HIGH MAINTENANCE PRIORITY
40,133,28,26.568563,1.431436538696289,HIGH MAINTENANCE PRIORITY
52,189,29,27.766245,1.233755111694336,HIGH MAINTENANCE PRIORITY
91,234,38,27.794353,10.205646514892578,HIGH MAINTENANCE PRIORITY
53,164,26,29.325935,3.3259353637695312,HIGH MAINTENANCE PRIORITY
77,162,34,32.19804,1.801959991455078,HIGH MAINTENANCE PRIORITY
90,146,28,36.269054,8.269054412841797,HIGH MAINTENANCE PRIORITY
61,159,21,38.494366,17.494365692138672,HIGH MAINTENANCE PRIORITY
38,125,50,42.473415,7.526584625244141,HIGH MAINTENANCE PRIORITY
46,146,47,44.501827,2.4981727600097656,HIGH MAINTENANCE PRIORITY
84,172,58,44.974197,13.025802612304688,HIGH MAINTENANCE PRIORITY
32,145,48,45.028797,2.971202850341797,HIGH MAINTENANCE PRIORITY
94,133,55,46.012897,8.987102508544922,HIGH MAINTENANCE PRIORITY
58,176,37,48.17479,11.174789428710938,HIGH MAINTENANCE PRIORITY
93,244,85,49.978996,35.02100372314453,HIGH MAINTENANCE PRIORITY
64,168,28,50.07158,22.071578979492188,MONITOR
17,165,50,51.124844,1.1248435974121094,MONITOR
37,121,21,52.43084,31.43083953857422,MONITOR
63,155,72,53.469604,18.5303955078125,MONITOR
3,126,69,53.929405,15.070594787597656,MONITOR
43,172,59,55.711163,3.288837432861328,MONITOR
62,232,54,56.567566,2.56756591796875,MONITOR
18,133,28,58.309376,30.309375762939453,MONITOR
41,123,18,64.21368,46.21367645263672,MONITOR
72,131,50,69.69257,19.69257354736328,MONITOR
8,166,95,70.67938,24.32061767578125,MONITOR
57,160,103,72.30201,30.69799041748047,MONITOR
97,134,82,74.62812,7.371879577636719,MONITOR
80,133,90,75.40159,14.598411560058594,MONITOR
45,152,114,76.09283,37.90717315673828,MONITOR
86,110,89,77.38982,11.610183715820312,MONITOR
21,148,57,78.641464,21.64146423339844,MONITOR
30,143,115,79.298164,35.70183563232422,MONITOR
98,121,59,81.486404,22.486404418945312,MONITOR
4,106,82,82.87876,0.8787612915039062,MONITOR
11,83,97,83.43107,13.568931579589844,MONITOR
51,144,114,88.43552,25.564483642578125,MONITOR
70,152,94,89.04449,4.955513000488281,MONITOR
6,105,93,90.13358,2.866416931152344,MONITOR
89,177,136,90.95949,45.04051208496094,MONITOR
27,140,66,92.14979,26.14978790283203,MONITOR
13,195,95,92.24886,2.751136779785156,MONITOR
28,158,97,93.13414,3.8658599853515625,MONITOR
74,137,126,94.77562,31.224380493164062,MONITOR
12,217,124,94.92296,29.07704162597656,MONITOR
79,101,63,98.42208,35.422080993652344,MONITOR
60,147,100,99.86324,0.1367568969726562,MONITOR
7,160,91,104.18155,13.181549072265623,NORMAL
5,98,91,105.07191,14.071907043457031,NORMAL
29,171,90,107.11662,17.116622924804688,NORMAL
16,113,84,108.31462,24.314620971679688,NORMAL
19,135,87,110.87628,23.87628173828125,NORMAL
10,192,96,116.743385,20.743385314941406,NORMAL
73,112,131,119.219696,11.780303955078123,NORMAL
83,73,137,120.70587,16.29412841796875,NORMAL
26,76,119,121.01159,2.0115890502929688,NORMAL
47,73,135,123.19344,11.806556701660156,NORMAL
99,97,117,127.180275,10.180274963378906,NORMAL
48,78,92,127.33059,35.330589294433594,NORMAL
75,88,113,127.58721,14.58721160888672,NORMAL
55,113,137,130.12352,6.876480102539063,NORMAL
95,89,128,130.8903,2.8903045654296875,NORMAL
50,74,79,134.05197,55.05197143554688,NORMAL
88,68,115,134.08488,19.084884643554688,NORMAL
71,68,118,134.79355,16.793548583984375,NORMAL
33,50,106,137.25444,31.254440307617188,NORMAL
54,121,97,137.6524,40.65240478515625,NORMAL
9,55,111,137.88142,26.881423950195312,NORMAL
87,56,116,138.64545,22.64544677734375,NORMAL
44,54,109,139.66261,30.662612915039062,NORMAL
96,97,137,142.63637,5.6363677978515625,NORMAL
69,54,121,146.45323,25.45323181152344,NORMAL
25,48,145,150.73853,5.738525390625,NORMAL
14,46,107,151.13573,44.13572692871094,NORMAL
2,49,98,151.39606,53.39605712890625,NORMAL
23,130,113,152.3041,39.30409240722656,NORMAL
15,76,83,153.3147,70.314697265625,NORMAL
67,71,77,153.81929,76.81929016113281,NORMAL
65,71,128,162.71222,34.71221923828125,NORMAL
59,94,114,167.49132,53.49131774902344,NORMAL
85,34,118,168.7031,50.70309448242188,NORMAL
39,37,142,171.2852,29.285202026367188,NORMAL
78,72,107,174.59634,67.59634399414062,NORMAL
22,39,111,175.80598,64.80598449707031,NORMAL
1,31,112,176.18909,64.1890869140625,NORMAL
